identificacion,capitalSuscrito,numeroTotalEmpleados
01792350832001,800.0000,1
01792350913001,800.0000,1
01792351057001,100000.0000,134
01792352088001,1000.0000,2
01792352401001,2000.0000,4
01792352614001,10000.0000,3
01792352835001,40000.0000,3
01792352894001,1700.0000,22
01792352916001,21300.0000,5
01792353300001,800.0000,4
01792353394001,1000.0000,3
01792353580001,800.0000,10
01792353637001,2000.0000,4
01792353742001,1500.0000,3
01792353807001,1000.0000,5
01792353904001,800.0000,6
01792353971001,36400.0000,2
01792354102001,400.0000,1
01792354137001,800.0000,2
01792354536001,400.0000,7
01792354676001,400.0000,34
01792354919001,1930000.0000,14
01792355052001,3012500.0000,1
01792355141001,10000.0000,1
01792355192001,68612.0000,
01792355753001,120000.0000,16
01792355761001,400.0000,3
01792355974001,400.0000,17
01792356326001,3300500.0000,96
01792356334001,1000.0000,9
01792356601001,25000.0000,1018
01792356687001,500.0000,2
01792356911001,24850.0000,2
01792357012001,800.0000,2
01792357276001,12500.0000,2
01792357365001,5000.0000,8
01792357454001,800.0000,2
01792357535001,400.0000,1
01792357616001,3200.0000,1
01792357683001,400.0000,19
01792357705001,1300400.0000,2
01792357799001,400.0000,2
01792357845001,10000.0000,3
01792357853001,10000.0000,3
01792357888001,555636.0000,4
01792358167001,800.0000,24
01792358248001,6655.0000,2
01792358388001,2000.0000,3
01792358507001,20400.0000,11
01792358558001,41780.0000,3
01792358671001,400.0000,1
01792358833001,25000.0000,3
01792359015001,800.0000,10
01792359058001,800.0000,29
01791350308001,318000.0000,53
01791350529001,3000000.0000,48
01791350596001,16650.0000,3
01791350634001,293388.0000,26
01791351010001,20000.0000,2
01791351088001,1000000.0000,71
01791351134001,150000.0000,12
01791351177001,20000.0000,37
01791351290001,13800.0000,4
01791351320001,86578.4000,3
01791351428001,10000.0000,2
01791351584001,4240.0000,4
01791351924001,18279.0000,1
01791351932001,1080.0000,2
01791352076001,10176.0000,4
01791352327001,500.0000,2
01791352718001,320000.0000,22
01791353064001,120000.0000,12
01791353455001,992000.0000,61
01791353463001,560000.0000,449
01791353919001,854.0000,6
01791353994001,1800.0000,2
01791354060001,689000.0000,206
01791354206001,712085.0000,57
01791354400001,630779.0000,167
01791354419001,730000.0000,54
01791354672001,13000.0000,7
01791354877001,2100000.0000,126
01791355016001,2383424.0000,227
01791355229001,5000.0000,3
01791355296001,1024909.0000,21
01791355318001,17726.0000,18
01791355369001,65000.0000,5
01791355377001,1132617.6000,2
01791355512001,50000.0000,33
01791355792001,500000.0000,37
01791355946001,800.0000,2
01791355962001,2240.0000,52
01791356012001,10000.0000,42
01791356063001,100000.0000,67
01791356179001,3796.0000,4
01791356209001,10000.0000,477
01791356802001,2016.0000,28
01791356853001,5000.0000,12
01791356993001,800.0000,1
01791357019001,400.0000,7
01791357108001,400.0000,7
01791357299001,500.0000,4
01791357302001,2400.0800,
01791357396001,205000.0000,450
01791357639001,1000.0000,4
01791357728001,10600.0000,4
01791357760001,800.0000,15
01791358465001,10000.0000,12
01791358570001,1200.0000,2
01791358643001,4280086.8000,318
01791275934001,80000.0000,3
01791276760001,1353000.0000,19
01791277023001,4796016.0000,6
01791277600001,491580.0000,45
01791277678001,102520.0000,170
01791277740001,1000.0000,2
01791278275001,7000.0000,2
01391921055001,800.0000,
01391921845001,2000.0000,
01391923023001,100.0000,
01391923279001,200000.0000,
01391923546001,800.0000,
01391924003001,10000.0000,
01391924399001,800.0000,
01391924607001,400.0000,
01391924801001,10000.0000,
01391925247001,20000.0000,
01391925476001,1000.0000,
01391925700001,1000.0000,
01391925956001,800.0000,
01391926081001,804.0000,
01391926510001,200.0000,
01391926995001,100.0000,
01391927606001,200.0000,
01391927711001,2000.0000,
01391927908001,20000.0000,
01391928416001,1000.0000,
01791300165001,480.0000,5
01791300386001,2400.0000,29
01791300610001,2000000.0000,1
01791301072001,60000.0000,16
01791301323001,400.0000,12
01791301358001,45528.0000,9
01791301919001,150000.0000,12
01791305418001,20800.0000,12
01791306023001,25630.0000,5
01791306112001,50000.0000,22
01791306120001,20000.0000,3
01791306414001,50000.0000,4
01791306961001,2881589.0000,378
01791307445001,10000.0000,6
01791307860001,614200.0000,38
01490818886001,500.0000,
01490819866001,400.0000,
01490820627001,800.0000,
01490820910001,700.0000,
01490825564001,800.0000,
01490825696001,400.0000,0
01490826900001,400.0000,
01490827141001,400.0000,
01490828008001,400.0000,
01490828342001,100.0000,
01490828709001,5.0000,
01490829152001,20000.0000,
01490829462001,400.0000,
01490829667001,400.0000,
01490829675001,100.0000,
01490829837001,10000.0000,
01490830363001,801.0000,
01590009152001,5000.0000,6
01591706604001,3200.0000,2
01591724491001,1000.0000,
01591724548001,800.0000,
01591724572001,800.0000,
01591724866001,1500.0000,
01591725110001,800.0000,
01591725633001,800.0000,
01591725943001,1000.0000,
01591727835001,500.0000,
01690014021001,49400.0000,3
01690030965001,400.0000,20
01691702568001,498.0000,3
01691703912001,800.0000,2
01691713160001,400.0000,2
01691714566001,400.0000,3
01691717158001,800.0000,6
01691722925001,400.0000,
01691725339001,840.0000,
01691726068001,15000.0000,
01691726165001,2405.0000,
01691726327001,420.0000,
01691726351001,800.0000,
01691727609001,1000.0000,
01691728508001,100.0000,
01691728773001,1000.0000,
01691703947001,400.0000,2
01691710455001,900.0000,4
01691712342001,400.0000,2
01691715228001,800.0000,2
01691715783001,1000.0000,2
01691717190001,800.0000,2
01391827660001,1000.0000,3
01391865791001,50000.0000,
01391867956001,151000.0000,
01391868901001,800.0000,
01391870353001,800.0000,
01391871651001,2500.0000,
01391872828001,800.0000,
01391877625001,800.0000,
01391878117001,10000.0000,
01391880405001,800.0000,
01391897685001,5000.0000,
01391897901001,1000.0000,
01391898231001,2000.0000,
01391901909001,800.0000,
01391902026001,16000.0000,
01391902239001,2000.0000,
01391902271001,900.0000,
01790938247001,6761000.0000,9
01790947696001,236197.0000,27
00993269484001,800.0000,
00993269603001,600.0000,0
00993269646001,1000.0000,
00993269735001,100.0000,
00993269778001,800.0000,
00993269808001,50.0000,
00993270059001,800.0000,
00993270180001,800.0000,
00993270393001,800.0000,
00993270709001,800.0000,
00993271098001,800.0000,
00993271209001,1000.0000,
00993271330001,10000.0000,
00993271381001,800.0000,
00993271551001,800.0000,
00993271632001,400.0000,
00993271640001,800.0000,
00993271659001,6000.0000,
00993271845001,1000.0000,
00993271861001,1000.0000,
00993272027001,400.0000,
00993272264001,400.0000,
00993272361001,800.0000,
00993272469001,800.0000,
00993272892001,1000.0000,
00993272981001,500.0000,
00993273279001,800.0000,
00993273554001,100.0000,
00993273678001,800.0000,
00993273732001,800.0000,
00993273872001,10000.0000,
00993274038001,800.0000,
00993274070001,800.0000,
00993274208001,800.0000,
00993274453001,800.0000,
00993274488001,800.0000,
00993275026001,5000.0000,
00993275042001,800.0000,
00993275115001,800.0000,
00993275123001,100.0000,
00993275344001,800.0000,
00993275409001,16000.0000,
00993275433001,5000.0000,
00993276103001,16187.0000,
00993276421001,600.0000,
00993276642001,2000.0000,
00993276685001,800.0000,
00993276790001,800.0000,
00993276871001,10000.0000,
00993276901001,1000.0000,
00993276936001,800.0000,
00993277282001,10000.0000,
00993277398001,800.0000,
00993277452001,800.0000,
00993277460001,800.0000,
00993278009001,400.0000,
00993278033001,1000.0000,
00993278149001,100.0000,
00993278343001,800.0000,
00993278467001,800.0000,
00993278513001,800.0000,
00993278564001,800.0000,
00993278580001,10000.0000,
00993278769001,600.0000,
00993278793001,100.0000,
00993278920001,800.0000,
00993278939001,800.0000,
00993279226001,500.0000,
00993279269001,800.0000,
00993279617001,243767.0000,
00993280224001,800.0000,
00993126292001,12500.0000,
00993126535001,800.0000,
00993126594001,400.0000,
00993126845001,800.0000,
00993127221001,2000.0000,
00993127663001,110000.0000,
00993127868001,800.0000,
00993127876001,800.0000,
00993127892001,800.0000,
00993128023001,800.0000,
00993128481001,2000.0000,
00993128554001,800.0000,
01591724378001,400.0000,
01591725277001,800.0000,
01591725315001,800.0000,
01591725617001,800.0000,
01591727809001,900.0000,
01591727834001,100.0000,
01690015125001,400.0000,3
01691719258001,1000.0000,2
01691721503001,800.0000,
01691726971001,400.0000,
01691728567001,100.0000,
01691728761001,100.0000,
01691728763001,400.0000,
01691728785001,10000.0000,
01691728796001,30.0000,
01790008959001,3886417.0000,156
01790011291001,13546973.0000,912
01790012956001,13875858.9600,362
01790013782001,111488.8000,34
01790017125001,342798.7200,114
01790017397001,750000.0000,119
01790019454001,125681.0000,84
01391902905001,10000.0000,
01391903049001,1000.0000,
01391903685001,800.0000,
01391903820001,800.0000,
01391903987001,1040.0000,
01391904010001,800.0000,
01391905645001,800.0000,
01391906366001,1000.0000,
01391907133001,800.0000,
01391840039001,800.0000,5
01391841396001,800.0000,2
01391842309001,800.0000,4
01391841078001,800.0000,
01391844557001,800.0000,2
01391853335001,800.0000,
01391854927001,800.0000,
01391855397001,1000.0000,
01391908849001,100800.0000,
01791218027001,400000.0000,22
01791239601001,491600.0000,1
01791240154001,100000.0000,38
01791240502001,138000.0000,6
01791242084001,300004.0000,2
01791242319001,273046.0000,14
01791243226001,10000.0000,9
01791243692001,2000.0000,3
01791244613001,800.0000,1
01791244729001,2000.0000,46
01791245091001,1000.0000,2
01791246802001,480.0000,5
01791247272001,787654.0000,84
01791248562001,111652.0000,6
01391822286001,800.0000,2
01790010740001,243957.0000,21
01790013421001,50000.0000,27
01790016781001,800.0000,9
01790027031001,800.0000,8
01790033961001,6240000.0000,61
01790043355001,7024251.0000,62
01790074749001,16000.0000,
01790085503001,3921000.0000,156
01790023885001,8329253.0000,1857
01790026353001,95000.0000,14
01790034305001,10880000.0000,1692
01790037126001,189200.0000,365
01790037304001,800000.0000,1
01790040275001,11300000.0000,331
01790040550001,216000.0000,3
01790051285001,6000.0000,8
01790085783001,20000.0000,10
01790103013001,228000.0000,60
01790105431001,1002.0000,4
01790125653001,2000.0000,2
01790171124001,1004.0000,2
01790187489001,4000.0000,38
01790189163001,1308820.0000,23
01790198936001,400.0000,2
01790202321001,4230190.0000,2
01790208745001,400.0000,5
01790211452001,600.0000,7
01391910606001,800.0000,
01391911483001,400.0000,
01391911610001,20000.0000,
01391911890001,10000.0000,
01391914288001,1000.0000,
01391915632001,800.0000,
01391916426001,300.0000,
01391916477001,10000.0000,
01391917082001,150.0000,
01391917147001,1470.0000,
01391917716001,800.0000,
01391917988001,400.0000,
01391918356001,10000.0000,
01391919182001,1000.0000,
01391919506001,1200.0000,
01391920652001,1000.0000,
01391921020001,4000.0000,
01391921632001,400.0000,
01391921659001,800.0000,
01391922914001,140000.0000,
01391922949001,900.0000,
01391923236001,800.0000,
01391923287001,800.0000,
01391923929001,2.0000,
01391924631001,800.0000,
01391924682001,10000.0000,
01391924992001,1000.0000,
01391925077001,500.0000,
01391925301001,5000.0000,
01391926049001,1000.0000,
01391926103001,15400.0000,
01391926189001,800.0000,
01391927665001,5000.0000,
01391928076001,2000.0000,
01391928092001,1000.0000,
01391928149001,400.0000,
01391928556001,800.0000,
01391928564001,800.0000,
01391929366001,200.0000,
01391929684001,1000.0000,
01391930216001,200.0000,
01391931271001,500.0000,
01391931794001,100.0000,
01391931813001,2000.0000,
01391931848001,100.0000,
01391931876001,4000.0000,
01391931950001,500000.0000,
01391931957001,1000.0000,
01391931996001,,
01391932018001,20000.0000,
01391932022001,500.0000,
01391932303001,10000.0000,
01191789527001,1000.0000,
01191790118001,12000.0000,
01191790819001,420.0000,
01091786806001,10000.0000,
01091792628001,400.0000,
01091793659001,100.0000,
01091794078001,800.0000,
01091796124001,,
01091796174001,1000.0000,
01691717778001,400.0000,2
01691720213001,800.0000,3
01691721198001,400.0000,
01691721481001,70000.0000,
01691722402001,400.0000,
01691726084001,629675.0000,
01691726157001,400.0000,
01691727056001,400.0000,
01691727846001,400.0000,
01691728257001,400.0000,
01691728775001,10000.0000,
01790001318001,400.0000,2
01790023931001,38700000.0000,295
01791308484001,2001.0000,6
01791308581001,100000.0000,16
01791308751001,3400.0000,24
01791308832001,20099439.0000,1330
01791309308001,1360.0000,24
01791309383001,800.0000,4
01791309472001,9000.0000,1
01791309634001,850000.0000,3
01791309839001,110000.0000,96
01791309863001,10000000.0000,408
00992754524001,800.0000,4
00992754737001,800.0000,2
00992754745001,109800.0000,33
00992755105001,500.0000,5
00992755377001,800.0000,2
00992755385001,800.0000,2
00992755393001,1000.0000,5
00992755458001,800.0000,2
00992755857001,800.0000,2
00992755873001,6000.0000,41
00992755881001,800.0000,2
00992756039001,800.0000,2
00992756152001,377321.0000,2
00992756179001,800.0000,3
00992756241001,1000.0000,4
00992756357001,800.0000,1
00992756381001,11000.0000,3
00992756551001,800.0000,4
00992756748001,800.0000,6
00992756802001,10000.0000,2
00992756896001,1000.0000,2
00992756934001,800.0000,8
00992757167001,800.0000,1
00992757523001,800.0000,2
00992757795001,800.0000,6
00992757825001,800.0000,2
00992758023001,2000.0000,2
00992758090001,2800.0000,2
00992758279001,800.0000,3
00992758317001,117595.0000,23
00992758325001,800.0000,3
00992758414001,15800.0000,27
00992758422001,800.0000,3
00992758708001,800.0000,1
00992758783001,17000.0000,1
00992758805001,800.0000,3
00992758961001,800.0000,12
00992749717001,5600.0000,3
00992750332001,4800.0000,2
00992750758001,800.0000,5
00992751436001,800.0000,1
00992752092001,800.0000,5
00992752262001,1687672.0000,176
00992752297001,800.0000,4
00992752300001,800.0000,3
00992752459001,7000.0000,9
00992753021001,400.0000,2
00992753110001,800.0000,2
00992753242001,800.0000,3
00992753927001,150000.0000,36
00992754079001,800.0000,2
00992754125001,800.0000,3
00992754230001,284715.0000,12
00992754249001,373179.0000,77
00992755237001,800.0000,2
00992755431001,200273.0000,11
00992755504001,800.0000,5
00992756497001,10000.0000,5
00992756675001,20000.0000,26
00992756721001,800.0000,137
00992756888001,800.0000,4
00992757116001,800.0000,1
00992757817001,900.0000,2
00992757892001,2000.0000,3
00992757922001,800.0000,2
00992757930001,800.0000,2
00992758236001,800.0000,5
00992758368001,800.0000,4
00992758384001,800.0000,
00992758988001,800.0000,4
00992759224001,1000.0000,5
00992759518001,800.0000,2
00992629304001,800.0000,4
00992665246001,800.0000,10
00992641703001,400.0000,207
00992629495001,800.0000,1
00992759186001,1000.0000,2
00992759445001,1000.0000,15
00992759550001,800.0000,5
00992759631001,70800.0000,5
00992759755001,100800.0000,120
00992760079001,800.0000,2
00992760214001,800.0000,11
00993249807001,800.0000,
00993249823001,800.0000,
00993250198001,800.0000,
00993250236001,75800.0000,
00993250384001,800.0000,
00993250422001,800.0000,
00993250619001,1000.0000,
00993250694001,800.0000,
00993251097001,800.0000,
00993251186001,1000.0000,
00993251658001,800.0000,
00993251720001,800.0000,
00993252034001,800.0000,
00993252107001,800.0000,
00993252204001,801.0000,
00993252441001,336000.0000,
00993252816001,800.0000,
00993252832001,800.0000,
00993252840001,800.0000,
00993252891001,800.0000,
00993253197001,800.0000,
00993253383001,800.0000,
00993253391001,800.0000,
00993253405001,800.0000,
00993253588001,800.0000,
00993253871001,800.0000,
00993253987001,800.0000,
00993254037001,800.0000,
00993254355001,800.0000,
00993254401001,800.0000,
00993254681001,800.0000,
00993254789001,800.0000,
00993254991001,400.0000,
00993255149001,800.0000,
00993255858001,800.0000,
00993256323001,800.0000,
00993256447001,800.0000,
00993256714001,9990.0000,
00993256838001,800.0000,
00993256994001,800.0000,
00993257133001,800.0000,
00993257303001,800.0000,0
00993257672001,800.0000,
00993257885001,400.0000,
00993257893001,10000.0000,
00993258091001,800.0000,
00993258210001,800.0000,
00993258296001,800.0000,
00993258334001,2000.0000,
00993258644001,800.0000,
00993258709001,2000.0000,
00993258768001,1000.0000,
00993258814001,800.0000,
00993062634001,20000.0000,
00993030422001,1050.0000,
00993252115001,800.0000,
00993252212001,800.0000,
00993252484001,10000.0000,
00993252611001,800.0000,
00993252697001,800.0000,
00993252727001,800.0000,
00993252875001,800.0000,
00993253057001,800.0000,
00993253499001,800.0000,
00993253901001,1000.0000,
00993254029001,2000.0000,
00993254436001,600.0000,
00993254576001,800.0000,
00993254614001,800.0000,
00993254827001,800.0000,
00993254983001,5000.0000,
00993255106001,8000.0000,
00993255211001,800.0000,
00993255475001,1000.0000,
00993096369001,800.0000,
00993096512001,800.0000,
00993097594001,800.0000,
00993098043001,800.0000,
00993098159001,800.0000,
00993099139001,800.0000,
00993099155001,16000.0000,
00993099309001,1000.0000,
00993099562001,800.0000,
01791414764001,132755.0000,6
01791414950001,53081.0000,19
01791415159001,3942996.1000,2
01791415256001,276300.0000,147
01791415388001,800.0000,22
01791415426001,3040.0000,5
01791415523001,12000.0000,1
01791415728001,180000.0000,41
01791415752001,520000.0000,2
01791421957001,1488.0000,4
01791422937001,2000.0000,2
01791425081001,10000.0000,30
01791431820001,800.0000,1
01791431898001,1837140.0000,822
01791432029001,800.0000,4
01791432401001,1000.0000,24
01791432487001,676000.0000,2
01791432495001,2000.0000,1
01791432541001,30000.0000,7
01791432630001,400.0000,3
01791432762001,6000.0000,2
01791432967001,10000.0000,27
01791433076001,2000.0000,16
01791433238001,800.0000,1
01791433599001,2400.0000,3
01791433815001,580.0000,3
01791434064001,30000.0000,10
01791434129001,17301.0000,11
01791434145001,116900.0000,404
01790160793001,16742000.0000,272
01790268705001,48000.0000,20
01790282694001,47840.0000,54
01790287289001,1000.0000,16
01790331792001,185372.0000,20
01790353672001,91000.0000,24
01790371506001,22221539.0000,1069
01790374831001,4000.0000,4
01790260089001,6061011.0000,4
01790261425001,1260.0000,13
01790280179001,2175809.8800,107
01790291774001,1000.0000,37
01790314618001,144000.0000,16
01790314839001,100000.0000,48
01790319458001,5200.0000,9
01790342867001,4000.0000,10
01790361144001,600.0000,4
01790371859001,474.0000,2
01790374343001,97000000.0000,400
01790376338001,6274900.0000,131
01790389812001,2000.0000,5
01790435156001,88884.0000,19
01790435709001,2000.0000,12
01490828091001,800.0000,
01490829330001,1000.0000,
01490829357001,1200.0000,
01490829772001,800.0000,
01490830266001,1000.0000,
01498303915001,1000.0000,
01498303966001,800.0000,
01498304016001,1000.0000,
01391901720001,900.0000,
01391903138001,800.0000,
01391903405001,800.0000,
01391903944001,800.0000,
01391904126001,400.0000,
01391904150001,800.0000,
01391904606001,1000.0000,
01391905009001,400.0000,
01391905165001,400.0000,
01391905726001,400.0000,
01391906331001,800.0000,
01391906528001,800.0000,
01391906617001,800.0000,
01391908709001,400.0000,
01391911386001,800.0000,
01391911904001,400.0000,
01391912080001,800.0000,
01391913699001,800.0000,
01391913710001,1000.0000,
01391914199001,400.0000,
01391914512001,800.0000,
01391915063001,800.0000,
01391915780001,2000.0000,
01791715438001,1000.0000,2
01791715535001,100000.0000,18
01791715772001,11699068.0000,2315
01791715780001,67550.0000,2
01791719115001,498457.0000,7
01791721799001,50001.0000,15
01791727665001,1200.0000,2
01791727886001,6600.0000,3
01791727924001,31600.0000,2
01791728181001,400.0000,3
01791728300001,140000.0000,2
01791728483001,59526.0000,195
01791728726001,10000.0000,24
01791728785001,30000.0000,28
01791728866001,5000.0000,5
01791728882001,250000.0000,45
01791728963001,1620000.0000,45
01791729196001,38325.0000,4
01791729358001,4400.0000,2
01791729404001,400.0000,14
01791729560001,177042.0000,2
01791730267001,15000.0000,17
01791730321001,800000.0000,19
01791730569001,5520.0000,6
01791730690001,400.0000,4
01791730828001,800.0000,4
01791730909001,600000.0000,91
01791731069001,416.0000,5
01791731182001,74375.0000,5
01791731190001,50000.0000,12
01791731239001,161000.0000,4
01791731328001,800.0000,2
01791731379001,10000.0000,4
01791731670001,400.0000,86
01791731751001,800.0000,3
01791731824001,3130271.0000,248
01791731859001,400.0000,4
01791731867001,1000.0000,5
01791732030001,5400.0000,6
01791735854001,400.0000,2
01791737164001,400.0000,2
01791737806001,1500.0000,8
01791738055001,10000.0000,11
01791738381001,400.0000,4
01791738659001,27180.0000,21
01791738756001,500000.0000,1
01791738950001,6987.0000,2
01791738977001,2000.0000,6
01791739051001,10000.0000,43
01791739167001,1000.0000,10
01791739302001,800.0000,3
01791739345001,2400.0000,2
01791739418001,90000.0000,14
01791739434001,400.0000,4
01791739442001,696085.0000,182
01791739477001,1208000.0000,42
01791739574001,268392.0000,12
01791739698001,277352.9900,2
01791739752001,1000.0000,30
01791739957001,166200.0000,30
01791740009001,800.0000,4
01791740181001,800.0000,5
01791740203001,400.0000,14
01791740378001,800.0000,20
01791740513001,22000.0000,14
01791740602001,50000.0000,6
01791740629001,245698.0000,7
01791740831001,560.0000,4
01791741013001,143400.0000,13
01791741188001,80000.0000,3
01791741390001,130000.0000,33
01791741447001,500.0000,10
01791741471001,315000.0000,27
01791741528001,400.0000,7
01791741595001,400.0000,4
01791741803001,3000.0000,3
01791741870001,102196.0000,37
01791741900001,287080.0000,38
01791742346001,117400.0000,50
01791742478001,800.0000,3
01791742575001,800.0000,6
01791742680001,800.0000,4
01791742699001,400.0000,3
01791742907001,10566.0000,3
01791743091001,400.0000,9
01791743164001,8000.0000,10
01791743172001,400.0000,2
01791751523001,10600.0000,19
01791751590001,400.0000,2
01791751620001,10000.0000,4
01791751647001,150000.0000,2
01791280830001,800.0000,
01791283538001,1400.0000,42
01791283910001,16200.0000,34
01791284542001,3844.0000,5
01791284569001,800.0000,11
01791285069001,1201.0000,11
01791285476001,200000.0000,13
01791288157001,3000.0000,28
01791288831001,50000.0000,10
01791288882001,2000.0000,3
01791290313001,405000.0000,50
01791290933001,747161.0000,58
01791291522001,356821.9200,17
01791291999001,801.0000,7
01791292073001,50000.0000,6
01791292804001,400.0000,3
01791292839001,10000.0000,152
01791292847001,800.0000,2
01791295358001,20000.0000,5
01791295439001,3068251.0000,3
01791295900001,800.0000,1
01791296656001,200000.0000,28
01791296710001,96800.0000,
01791297075001,20000.0000,38
01791297903001,786019.0000,350
01791298675001,1200.0000,4
01791298756001,959.8400,2
01791300157001,12000.0000,2
01791300424001,11856.0000,22
01791300874001,300400.0000,19
01791301102001,50000.0000,61
01791302265001,800.0000,2
01791302400001,12267319.0000,653
01791303326001,6000.0000,16
01791304160001,800.0000,237
01791304543001,400.0000,5
01791304950001,10000.0000,13
01791305507001,845.0000,2
01791305558001,267000.0000,111
01791306201001,1400.0000,3
01791306511001,10000.0000,11
01791308557001,480.0000,5
01791310438001,89284.8000,10
01791311353001,2000.0000,6
01791311396001,10000.0000,3
01791312457001,876.0000,9
01790307387001,5000.0000,3
01790379582001,1000.0000,31
01790381730001,5000000.0000,
01790394964001,2400.0000,1
01790410048001,1234000.0000,12
